0 tensor(69.9378, device='cuda:0')
1 tensor(71.0480, device='cuda:0')
2 tensor(71.0480, device='cuda:0')
3 tensor(71.0480, device='cuda:0')
4 tensor(68.8277, device='cuda:0')
5 tensor(70.6039, device='cuda:0')
6 tensor(69.4938, device='cuda:0')
7 tensor(71.0480, device='cuda:0')
8 tensor(71.0480, device='cuda:0')
9 tensor(71.0480, device='cuda:0')
10 tensor(71.0480, device='cuda:0')
11 tensor(71.1368, device='cuda:0')
12 tensor(71.0480, device='cuda:0')
13 tensor(71.0480, device='cuda:0')
14 tensor(71.0480, device='cuda:0')
15 tensor(71.0480, device='cuda:0')
16 tensor(71.0480, device='cuda:0')
17 tensor(73.6235, device='cuda:0')
18 tensor(68.5169, device='cuda:0')
19 tensor(71.0480, device='cuda:0')
20 tensor(71.0480, device='cuda:0')
21 tensor(71.0480, device='cuda:0')
22 tensor(71.0480, device='cuda:0')
23 tensor(71.0480, device='cuda:0')
24 tensor(71.0480, device='cuda:0')
25 tensor(71.0480, device='cuda:0')
26 tensor(71.0480, device='cuda:0')
27 tensor(71.6252, device='cuda:0')
28 tensor(71.9361, device='cuda:0')
29 tensor(73.0462, device='cuda:0')
30 tensor(73.0462, device='cuda:0')
31 tensor(74.6004, device='cuda:0')
32 tensor(76.2433, device='cuda:0')
33 tensor(77.4867, device='cuda:0')
34 tensor(78.4192, device='cuda:0')
35 tensor(78.3748, device='cuda:0')
36 tensor(77.8863, device='cuda:0')
37 tensor(78.3748, device='cuda:0')
38 tensor(79.4849, device='cuda:0')
39 tensor(81.6163, device='cuda:0')
40 tensor(83.2149, device='cuda:0')
41 tensor(81.0835, device='cuda:0')
42 tensor(82.5489, device='cuda:0')
43 tensor(83.4814, device='cuda:0')
44 tensor(85.7904, device='cuda:0')
45 tensor(85.7460, device='cuda:0')
46 tensor(79.8401, device='cuda:0')
47 tensor(85.7904, device='cuda:0')
48 tensor(85.7016, device='cuda:0')
49 tensor(87.6110, device='cuda:0')
50 tensor(86.9005, device='cuda:0')
51 tensor(88.6767, device='cuda:0')
52 tensor(89.0320, device='cuda:0')
53 tensor(89.3428, device='cuda:0')
54 tensor(90.9858, device='cuda:0')
55 tensor(91.8295, device='cuda:0')
56 tensor(91.5631, device='cuda:0')
57 tensor(92.3179, device='cuda:0')
58 tensor(91.4298, device='cuda:0')
59 tensor(92.0071, device='cuda:0')
60 tensor(93.6945, device='cuda:0')
61 tensor(93.3837, device='cuda:0')
62 tensor(93.5169, device='cuda:0')
63 tensor(93.7833, device='cuda:0')
64 tensor(93.8277, device='cuda:0')
65 tensor(94.3606, device='cuda:0')
66 tensor(93.8721, device='cuda:0')
67 tensor(94.8934, device='cuda:0')
68 tensor(93.7833, device='cuda:0')
69 tensor(94.4938, device='cuda:0')
70 tensor(95.1599, device='cuda:0')
71 tensor(93.6945, device='cuda:0')
72 tensor(94.8046, device='cuda:0')
73 tensor(94.3606, device='cuda:0')
74 tensor(94.3162, device='cuda:0')
75 tensor(94.8934, device='cuda:0')
76 tensor(94.9822, device='cuda:0')
77 tensor(94.9822, device='cuda:0')
78 tensor(94.9378, device='cuda:0')
79 tensor(94.4938, device='cuda:0')
80 tensor(95.1599, device='cuda:0')
81 tensor(94.9822, device='cuda:0')
82 tensor(95.4263, device='cuda:0')
83 tensor(94.3162, device='cuda:0')
84 tensor(94.7158, device='cuda:0')
85 tensor(95.5151, device='cuda:0')
86 tensor(94.9822, device='cuda:0')
87 tensor(94.9822, device='cuda:0')
88 tensor(95.6039, device='cuda:0')
89 tensor(96.1368, device='cuda:0')
90 tensor(94.8490, device='cuda:0')
91 tensor(95.6927, device='cuda:0')
92 tensor(95.1599, device='cuda:0')
93 tensor(95.0711, device='cuda:0')
94 tensor(95.3375, device='cuda:0')
95 tensor(95.5151, device='cuda:0')
96 tensor(95.9592, device='cuda:0')
97 tensor(96.0036, device='cuda:0')
98 tensor(95.3375, device='cuda:0')
99 tensor(95.2931, device='cuda:0')
